classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
6712	-1.097	-0.131	-1.329	-1.299	-0.934	-1.516	-0.736	-0.576	-1.313	0.861	1.273	-0.73	0.748	0.616	-0.139	0.073	-0.263	0.202	1.581	-0.571	2.279	-0.116	1.112	0.182	-0.922	-0.359	0.629	0.75	-0.936	0.728	0.411	0.264	0.979	0.38	-0.125	0.486	0.318	-0.065	-0.958	-0.65	1.467	-0.235	-0.231	-0.108	-0.737	-0.222	0.941	1.373	0.215	0.387	0.342	-0.693
51599	-4.057	-3.19	-4.428	-4.209	-2.326	-4.207	-3.599	-4.246	-5.552	2.369	-0.318	-0.237	1.565	-0.43	-0.084	0.031	-1.499	1.857	2.003	-0.638	1.956	1.448	-0.417	0.94	1.47	-1.183	2.388	2.049	2.159	2.254	0.006	2.142	-1.61	1.114	-0.532	0.111	-0.189	1.019	0.01	1.829	-0.127	-1.164	-2.999	0.876	0.953	0.604	0.711	-0.88	0.391	-2.534	-1.577	-0.1
7022	-2.68	-2.743	-2.579	0.185	-1.939	-0.145	-1.273	-2.556	-3.455	-1.168	1.599	0.908	2.069	2.983	-0.547	0.544	-1.201	-0.797	-1.462	1.804	1.225	0	-1.269	3.124	-1.886	1.241	0.184	0.426	1.051	1.903	0.797	-0.387	-0.142	1.618	1.143	0.359	-0.461	-2.106	-1.292	-0.138	2.414	0.414	0.861	-0.327	0.302	-0.882	-0.004	0.263	1.219	-0.564	-0.236	0.239
1969	2.121	1.576	2.125	1.273	3.247	-1.568	0.486	2.425	1.219	0.174	0.197	1.649	-1.73	-2.978	-2.148	1.694	2.665	-0.063	0.39	-0.164	-2.13	-0.868	-2.063	-2.8	1.699	-0.888	-1.306	0.359	3.427	-0.031	-0.062	-0.125	-1.512	-0.475	-1.992	-1.984	-2.177	-1.845	-1.765	0.454	-0.363	-1.571	-1.353	2.054	0.379	1.815	1.026	-2.709	-1.792	-2.65	-1.381	-2.082
79679	-2.686	-1.983	-1.927	-2.592	-2.82	-2.828	-2.707	-3.377	-2.659	2.694	4.63	-3.262	-0.251	-1.667	2.718	-1.316	0.178	3.014	3.098	2.462	2.705	2.453	1.754	3.689	-2.517	1.951	3.085	2.463	-0.831	4.702	2.122	3.445	-3	-2.089	-2.154	0.681	-0.979	1.685	-1.961	4.886	4.994	2.766	-2.668	-2.273	-0.838	0.749	0.947	-1.578	2.745	3.81	-2.184	0.326
8611	2.198	0.884	0.307	2.234	0.013	0.4	0.412	1.902	2.623	-0.175	-0.69	-1.529	-0.977	-0.139	-1.969	-0.543	1.78	0.408	-0.197	0.93	-0.611	0.187	-0.895	-1.175	0.807	0.831	-0.134	0.764	-0.312	-0.734	-0.93	1.225	-0.764	0.49	0.369	-0.09	-0.091	1.559	-1.147	-0.62	-1.085	1.509	-0.998	-0.68	-0.393	-0.098	0.455	0.996	-0.002	-1.014	0.298	-0.262
51322	-2.134	-1.756	-2.675	-2.887	0.544	-2.552	-0.076	-2.405	-2.474	2.93	0.151	0.247	1.484	2.359	-0.99	1.454	-0.018	0.112	-1.721	2.174	-0.477	-0.308	-1.212	1.35	-0.796	-2.201	-1.492	1.179	-1.255	-0.827	1.062	-2.248	-2.627	-1.216	0.39	0.897	0.1	1.414	1.314	-1.235	0.525	1.857	0.394	-0.973	-1.504	0.054	1.914	-1.065	1.111	2.969	2.005	0.098
83459	-1.012	-0.927	-0.528	-0.775	-1.009	-0.123	-0.557	-1.318	-0.172	0.998	-0.956	-0.361	1.634	-0.001	0.513	0.155	0.157	-0.234	1.194	-0.266	0.062	0.071	0.017	0.312	-0.29	-0.744	0.365	-0.084	-1.032	-0.244	0.191	-0.747	0.635	1.084	-0.062	1.406	0.113	-0.148	1.277	-1.329	-0.835	-0.156	-0.252	0.09	0.504	-0.485	0.516	0.753	0.562	0.189	-0.096	0.363
10052	0.397	2.387	0.676	0.209	-0.544	1.282	-0.084	-0.293	2.282	-0.457	-0.683	0.657	-0.172	-1.029	-0.24	0.226	0.758	0.209	0.375	-0.641	-0.024	0.231	0.838	-0.341	0.455	0.054	0.551	-0.663	0.295	-0.224	-0.487	0.293	-0.188	-0.847	-0.706	-0.481	0.046	0.137	-0.631	0.13	-0.371	-0.404	-0.375	0.178	-0.355	-0.322	-0.912	1.013	-1.011	0.148	-0.469	-0.114
