Search_Key,ILMN_Gene,Accession,Symbol,Probe_Id,Array_Address_Id,nuID,weights
ILMN_6588,ACTA2,NM_001613.1,ACTA2,ILMN_1671703,430338,uR.XnXd7dyREHuDte4,-0.0551635086
ILMN_13364,ACTG2,NM_001615.3,ACTG2,ILMN_1795325,4760682,ltIEr3UKNV2Icd7xS0,0.0322926693
ILMN_697,ADAMTSL2,NM_014694.2,ADAMTSL2,ILMN_1721495,360561,TdpVZV5LSbS503G8MA,-0.1654548169
ILMN_5010,ADHFE1,NM_144650.1,ADHFE1,ILMN_1702858,6200328,fUp2H0qtLvXtUBVESA,0.2058673755
ILMN_29514,ADM,NM_001124.1,ADM,ILMN_1708934,6650020,ct0mK7AvvZZug7i7v4,0.2039736039
ILMN_30245,AMHR2,NM_020547.1,AMHR2,ILMN_1736412,6110400,9ClfvUoNdJeXsV.de4,0.2085021874
ILMN_20440,ANGPTL4,NM_139314.1,ANGPTL4,ILMN_1707727,2630609,WqEQkplDrN6midEi98,0.2326309641
ILMN_21982,BAIAP2L2,NM_025045.4,BAIAP2L2,ILMN_1771652,160424,QKJV_xedblQROV3exM,0.0269183837
ILMN_4301,BAPX1,NM_001189.2,BAPX1,ILMN_1782004,5220523,irjVF7ftBdln.ZdfDo,0.1195233807
ILMN_15063,C7,NM_000587.2,C7,ILMN_1687848,5290450,ZVIv9KixErI8v4JPhc,0.1662657993
ILMN_796,CA12,NM_206925.1,CA12,ILMN_1720998,4180524,6JFXS9e5dJUSlHuMOs,0.1307657876
ILMN_29029,CFD,NM_001928.2,CFD,ILMN_1777190,5720243,NkEC1YkOC01HXk3r60,-0.0361770319
ILMN_26898,CNN2,NM_004368.2,CNN2,ILMN_1708486,870241,WT6bQsdogkomg.YY5Q,-0.0868684685
ILMN_9368,CNN2,NM_201277.1,CNN2,ILMN_1770290,2350300,cfMedTfVaUTlWULHkQ,-0.1932657038
ILMN_1644,COL11A1,NM_080630.2,COL11A1,ILMN_1789507,2970706,HrlFBU.7lE5C.4MKOs,-0.222098553
ILMN_11548,COL1A1,NM_000088.3,COL1A1,ILMN_1701308,7380390,u1dct7Xm13tVq.SIQc,-0.2018196257
ILMN_23060,COL1A2,NM_000089.3,COL1A2,ILMN_1785272,2760121,KmAXs1qVBeAE1SUIHo,0.0601682272
ILMN_26128,COL3A1,NM_000090.3,COL3A1,ILMN_1773079,2450608,o0Hn7ArnXf.37T560I,-0.1489334315
ILMN_24359,COL4A1,NM_001845.3,COL4A1,ILMN_1653028,2640519,TTZOhZKKkj2hRyl4Dg,-0.4241918382
ILMN_1015,COL4A2,NM_001846.2,COL4A2,ILMN_1724994,3180168,69B1fdquoSGIQSREpI,0.0685802679
ILMN_139036,COL5A1,NM_000093.3,COL5A1,ILMN_1706505,6200095,TvUKwl2wK01RTRQJdY,-0.0694969798
ILMN_137533,COL5A2,NM_000393.3,COL5A2,ILMN_1729117,3870056,BiTb1Dn70e9d7THs3o,-0.3388875051
