"symbol","probe.affy","EntrezGene.ID","group","weight","a","b"
"BIRC5","202095_s_at",332,"GOI",0.41,0.94,-3.8
"RBBP8","203344_s_at",5932,"GOI",-0.35,0.71,-0.9
"UBE2C","202954_at",11065,"GOI",0.39,0.79,-1.4
"IL6ST","212196_at",3572,"GOI",-0.31,0.81,-5
"AZGP1","209309_at",563,"GOI",-0.26,0.67,-0.8
"DHCR7","201791_s_at",1717,"GOI",0.39,0.89,-4.4
"MGP","202291_s_at",4256,"GOI",-0.18,0.49,4.3
"STC2","203438_at",8614,"GOI",-0.15,0.83,-3.6
"CALM2","207243_s_at",805,"REFERENCE","NA","NA","NA"
"OAZ1","200077_s_at",4946,"REFERENCE","NA","NA","NA"
"RPL37A","201429_s_at",6168,"REFERENCE","NA","NA","NA"
