# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.673211 -0.73176
# mean.2: 0.0205898 0.695856
# mean.3: 0.472702 -0.325296
# sigma: 0.105157 0.0723926
# pro: 0.271955 0.13881 0.589235
# scale: 0.0872499
# shape: 1.20523 0.829715
# gaussian.AURKA.mean: -0.243212
# gaussian.AURKA.sigma: 0.229011
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"ESR1","205225_at","2099","1"
"","212956_at","23158","0.818853934"
"","209602_s_at","2625","0.808404454"
"","204508_s_at","771","0.769664466"
"","204667_at","3169","0.747740313"
"","204798_at","4602","0.724360247"
"","205186_at","7802","0.722064641"
"","200670_at","7494","0.706606341"
"","219197_s_at","57758","0.706307294"
"","214053_at","2066","0.705524131"
"","214440_at","9","0.68994857"
"","209459_s_at","18","0.68431164"
"","209173_at","10551","0.682493984"
"","212692_s_at","987","0.667204458"
"","209696_at","2203","0.666017848"
"","215729_s_at","51442","-0.661295609"
"","218976_at","56521","0.654147619"
"","217838_s_at","51466","0.653404963"
"","201397_at","26227","-0.649288086"
"","218259_at","57496","0.64903192"
"","205009_at","7031","0.6449711"
"","200810_s_at","1153","0.644376986"
"","206754_s_at","1555","0.631227682"
"","218692_at","55638","0.629800859"
"","215223_s_at","6648","-0.626227076"
"","212771_at","221061","-0.619116223"
"","219497_s_at","53335","-0.617516345"
"","204623_at","7033","0.616219874"
"","219741_x_at","79818","0.610820144"
"","218471_s_at","582","0.607975339"
"","218532_s_at","54463","0.601669708"
"","210085_s_at","8416","0.600083497"
"","218035_s_at","54502","0.597290216"
"","201825_s_at","51097","0.594863448"
"","200600_at","4478","-0.591834873"
"","211596_s_at","26018","0.591723382"
"","213234_at","57613","0.590842681"
"","221856_s_at","55793","0.586608892"
"","205696_s_at","2674","0.584823646"
"","208788_at","60481","0.582552358"
"","219919_s_at","54961","0.580160177"
"","204914_s_at","6664","-0.578389737"
"","219687_at","55733","0.57829406"
"","205548_s_at","10950","-0.578035847"
"","221016_s_at","83439","-0.576851661"
"","219648_at","55686","0.57186844"
"","204686_at","3667","0.57148821"
"","209204_at","8543","-0.567116721"
"","204863_s_at","3572","0.566168955"
"","208693_s_at","2617","-0.564193219"
"","213260_at","2296","-0.562466127"
"","219786_at","9633","0.561763365"
"","205044_at","2568","-0.558835211"
"","201030_x_at","3945","-0.555574851"
"","204061_at","5613","-0.555390767"
"","206197_at","8382","0.555210673"
"","214703_s_at","23324","0.555058606"
"","204203_at","1054","-0.553145812"
"","219114_at","51161","0.553100882"
"","209443_at","5104","0.552615794"
"","202815_s_at","10614","0.5516074"
"","203574_at","4783","-0.55143972"
"","204703_at","8100","0.55028445"
"","209800_at","3868","-0.549497975"
"","207038_at","9120","0.548877174"
"","218394_at","79641","0.54629249"
"","205380_at","5174","0.546051055"
"","212510_at","23171","0.544914666"
"","213412_at","27134","0.542775525"
"","202371_at","79921","0.541970152"
"","202962_at","23303","0.541898896"
"","219010_at","55765","-0.541800035"
"","201754_at","1345","0.539941313"
"","207266_x_at","5937","-0.539744359"
"","51158_at","400451","0.537420183"
"","203287_at","3898","-0.53550815"
"","203143_s_at","9674","0.532088271"
"","205029_s_at","2173","-0.52941225"
"","213712_at","54898","0.52925655"
"","218518_at","51306","0.528812601"
"","218065_s_at","56674","0.528127412"
"","206869_at","1101","0.526770704"
"","219562_at","25837","0.526164961"
"","208873_s_at","7905","0.525130991"
"","203921_at","9435","-0.523967096"
"","218026_at","28958","0.523641457"
"","209842_at","6663","-0.52250076"
"","201201_at","1476","-0.522285278"
"","205201_at","2737","0.521494671"
"","209759_s_at","1632","0.5213171"
"","202501_at","10982","-0.519382303"
"","205819_at","8685","-0.518384992"
"","209825_s_at","7371","-0.517091493"
"","221779_at","85377","-0.516534624"
"","217770_at","51604","0.514231244"
"","218060_s_at","79650","-0.512700389"
"","211778_s_at","58495","0.509854248"
"","213512_at","122616","0.508580125"
"","208305_at","5241","0.507968301"
